experiment_index,fate_map_id,sample_size,num_sites,sampling,num_tip,bsum
1,1,100,50,fixed,16,0
2,2,100,50,fixed,16,5
3,3,100,50,fixed,16,10
4,4,100,50,fixed,16,13
5,5,100,50,fixed,16,20
6,6,100,50,fixed,16,24
7,7,100,50,fixed,16,26
8,8,100,50,fixed,16,35
9,9,100,50,fixed,16,38
10,10,100,50,fixed,16,45
11,11,100,50,fixed,16,46
12,12,100,50,fixed,16,54
13,13,100,50,fixed,16,57
14,14,100,50,fixed,16,65
15,15,100,50,fixed,16,69
16,16,100,50,fixed,16,71
17,17,100,50,fixed,16,35
18,18,100,50,fixed,32,0
19,19,100,50,fixed,32,24
20,20,100,50,fixed,32,29
21,21,100,50,fixed,32,32
22,22,100,50,fixed,32,39
23,23,100,50,fixed,32,41
24,24,100,50,fixed,32,50
25,25,100,50,fixed,32,51
26,26,100,50,fixed,32,58
27,27,100,50,fixed,32,65
28,28,100,50,fixed,32,66
29,29,100,50,fixed,32,73
30,30,100,50,fixed,32,77
31,31,100,50,fixed,32,84
32,32,100,50,fixed,32,89
33,33,100,50,fixed,32,95
34,34,100,50,fixed,32,96
35,35,100,50,fixed,32,105
36,36,100,50,fixed,32,108
37,37,100,50,fixed,32,115
38,38,100,50,fixed,32,119
39,39,100,50,fixed,32,123
40,40,100,50,fixed,32,127
41,41,100,50,fixed,32,131
42,42,100,50,fixed,32,138
43,43,100,50,fixed,32,142
44,44,100,50,fixed,32,146
45,45,100,50,fixed,32,153
46,46,100,50,fixed,32,158
47,47,100,50,fixed,32,161
48,48,100,50,fixed,32,168
49,49,100,50,fixed,32,177
50,50,100,50,fixed,32,181
51,51,100,50,fixed,64,0
52,52,100,50,fixed,64,129
53,53,100,50,fixed,64,78
54,54,100,50,fixed,64,118
55,55,100,50,fixed,64,88
56,56,100,50,fixed,64,93
57,57,100,50,fixed,64,96
58,58,100,50,fixed,64,104
59,59,100,50,fixed,64,110
60,60,100,50,fixed,64,113
61,61,100,50,fixed,64,116
62,62,100,50,fixed,64,124
63,63,100,50,fixed,64,129
64,64,100,50,fixed,64,133
65,65,100,50,fixed,64,137
66,66,100,50,fixed,64,141
67,67,100,50,fixed,64,149
68,68,100,50,fixed,64,152
69,69,100,50,fixed,64,156
70,70,100,50,fixed,64,162
71,71,100,50,fixed,64,167
72,72,100,50,fixed,64,175
73,73,100,50,fixed,64,180
74,74,100,50,fixed,64,184
75,75,100,50,fixed,64,188
76,76,100,50,fixed,64,195
77,77,100,50,fixed,64,197
78,78,100,50,fixed,64,204
79,79,100,50,fixed,64,206
80,80,100,50,fixed,64,215
81,81,100,50,fixed,64,216
82,82,100,50,fixed,64,222
83,83,100,50,fixed,64,226
84,85,100,50,fixed,64,239
85,86,100,50,fixed,64,242
86,87,100,50,fixed,64,247
87,88,100,50,fixed,64,255
88,89,100,50,fixed,64,259
89,90,100,50,fixed,64,261
90,91,100,50,fixed,64,266
91,92,100,50,fixed,64,274
92,93,100,50,fixed,64,277
93,94,100,50,fixed,64,282
94,95,100,50,fixed,64,288
95,96,100,50,fixed,64,295
96,97,100,50,fixed,64,300
97,98,100,50,fixed,64,303
98,99,100,50,fixed,64,307
99,100,100,50,fixed,64,313
100,101,100,50,fixed,64,317
101,103,100,50,fixed,64,330
102,104,100,50,fixed,64,332
103,105,100,50,fixed,64,337
104,106,100,50,fixed,64,342
105,107,100,50,fixed,64,346
106,108,100,50,fixed,64,352
107,109,100,50,fixed,64,357
108,110,100,50,fixed,64,364
109,111,100,50,fixed,64,369
110,112,100,50,fixed,64,242
111,113,100,50,fixed,64,380
112,114,100,50,fixed,64,382
113,115,100,50,fixed,64,388
114,116,100,50,fixed,64,393
115,117,100,50,fixed,64,400
116,118,100,50,fixed,64,288
117,119,100,50,fixed,64,275
118,120,100,50,fixed,64,183
119,121,100,50,fixed,64,239
120,122,100,50,fixed,64,186
121,123,100,50,fixed,64,179
122,124,100,50,fixed,64,239
123,125,100,50,fixed,64,131
124,126,100,50,fixed,64,299
125,127,100,50,fixed,64,212
126,1,100,50,proportional,16,0
127,2,100,50,proportional,16,5
128,3,100,50,proportional,16,10
129,4,100,50,proportional,16,13
130,5,100,50,proportional,16,20
131,6,100,50,proportional,16,24
132,7,100,50,proportional,16,26
133,8,100,50,proportional,16,35
134,9,100,50,proportional,16,38
135,10,100,50,proportional,16,45
136,11,100,50,proportional,16,46
137,12,100,50,proportional,16,54
138,13,100,50,proportional,16,57
139,14,100,50,proportional,16,65
140,15,100,50,proportional,16,69
141,16,100,50,proportional,16,71
142,17,100,50,proportional,16,35
143,18,100,50,proportional,32,0
144,19,100,50,proportional,32,24
145,20,100,50,proportional,32,29
146,21,100,50,proportional,32,32
147,22,100,50,proportional,32,39
